[ 2026-08-01 21:31:25,162 ] 18 root - INFO - Initiate the data Ingestion
[ 2026-08-01 21:31:31,393 ] 59 root - INFO - Performed Train Test Split
[ 2026-08-01 21:31:31,393 ] 65 root - INFO - Exporting training and test data
[ 2026-08-01 21:31:31,425 ] 71 root - INFO - Exported training and test data
[ 2026-08-01 21:31:31,426 ] 24 root - INFO - Initiate the Data Validation
[ 2026-08-01 21:31:31,443 ] 32 root - INFO - Required number of columns: 2
[ 2026-08-01 21:31:31,444 ] 33 root - INFO - Data frame has columns : 31
[ 2026-08-01 21:31:31,444 ] 32 root - INFO - Required number of columns: 2
[ 2026-08-01 21:31:31,444 ] 33 root - INFO - Data frame has columns : 31
[ 2026-08-01 21:31:31,519 ] 30 root - INFO - Initiate the Data Transformation
[ 2026-08-01 21:31:31,539 ] 36 root - INFO - Initiate the Model Training
