[ 2026-08-01 21:28:24,627 ] 18 root - INFO - Initiate the data Ingestion
[ 2026-08-01 21:28:26,741 ] 59 root - INFO - Performed Train Test Split
[ 2026-08-01 21:28:26,741 ] 65 root - INFO - Exporting training and test data
[ 2026-08-01 21:28:26,769 ] 71 root - INFO - Exported training and test data
[ 2026-08-01 21:28:26,769 ] 24 root - INFO - Initiate the Data Validation
[ 2026-08-01 21:28:26,780 ] 32 root - INFO - Required number of columns: 2
[ 2026-08-01 21:28:26,780 ] 33 root - INFO - Data frame has columns : 31
[ 2026-08-01 21:28:26,780 ] 32 root - INFO - Required number of columns: 2
[ 2026-08-01 21:28:26,780 ] 33 root - INFO - Data frame has columns : 31
[ 2026-08-01 21:28:26,846 ] 30 root - INFO - Initiate the Data Transformation
[ 2026-08-01 21:28:26,860 ] 36 root - INFO - Initiate the Model Training
